"SYNTAX_OLD","SYNTAXON_OLD_NAME"
"01","ASPLENIETEA TRICHOMANIS"
"01A","POTENTILLETALIA CAULESCENTIS"
"01AA","Potentillion caulescentis"
"01AA01","Asplenietum trichomano-rutae-murariae"
"01AB","Cystopteridion"
"01AB01","Asplenio-Cystopteridetum fragilis"
"01AB02","Asplenio rutae-murariae-Gymnocarpietum robertiani"
"01AC","Asplenion serpentini"
"01AC01","Sedo albi-Cheilanthetum marantae"
"01AC02","Asplenietum serpentini"
"01B","ANDROSACETALIA VANDELLII"
"01BA","Androsacion vandellii"
"01BA01","Woodsio ilvensis-Asplenietum septentrionalis"
"01BA02","Asplenietum septentrionalis"
"01BA03","Biscutello-Asplenietum septentrionalis"
"01BA04","Asplenietum septentrionali-adianti-nigri"
"01C","FESTUCETALIA VERSICOLORIS"
"01CA","Agrostion alpinae"
"01CA01","Saxifrago paniculatae-Agrostietum alpinae"
"01CA02","Hedysaro hedysaroidis-Molinietum"
"01CA03","Saxifrago oppositifoliae-Festucetum versicoloris"
"02","PARIETARIETEA"
"02A","PARIETARIETALIA JUDAICAE"
"02AA","Centrantho-Parietarion"
"02AA01","Cymbalarietum muralis"
"02AA02","Corydalidetum luteae"
"03","THLASPIETEA ROTUNDIFOLII"
"03A","ANDROSACETALIA ALPINAE"
"03AA","Androsacion alpinae"
"03AA01","Cryptogrammetum crispae"
"03B","STIPETALIA CALAMAGROSTIS"
"03BA","Stipion calamagrostis"
"03BA01","Dryopteridetum robertianae"
"03BA02","Galeopsietum angustifoliae"
"03BA03","Melicetum ciliatae"
"04","JUNCETEA TRIFIDI"
"04A","CARICETALIA CURVULAE"
"04AA","Juncion trifidi"
"04AA01","Agrostis rupestris-Juncus trifidus spol."
"04AA02","Carici rigidae-Juncetum trifidi"
"04AA03","Empetro hermaphroditi-Juncetum trifidi"
"04AA04","Cetrario-Festucetum supinae"
"04AA05","Molinio coeruleae-Agrostietum"
"04AA06","Festuco supinae-Polytrichetum piliferi"
"04AB","Nardo-Caricion rigidae"
"04AB01","Carici fyllae-Nardetum"
"05","SALICETEA HERBACEAE"
"05A","SALICETALIA HERBACEAE"
"05AA","Salicion herbaceae"
"05AA01","Polytrichetum sexangularis"
"05AA02","Polytricho gracilis-Nardetum"
"06","MULGEDIO-ACONITETEA"
"06A","ADENOSTYLETALIA"
"06AA","Adenostylion"
"06AA01","Adenostyletum alliariae"
"06AA02","Mulgedietum alpini"
"06AA03","Pado-Sorbetum"
"06AA04","Salicetum lapponum"
"06AA05","Laserpitio-Dactylidetum glomeratae"
"06AA06","Trollio altissimi-Geranietum sylvatici"
"06AB","Dryopterido-Athyrion"
"06AB01","Adenostyli-Athyrietum alpestris"
"06AB02","Gentiano pannonicae-Athyrietum alpestris"
"06AB03","Daphno mezerei-Dryopteridetum filicis-maris"
"06AB04","Athyrietum alpestris"
"06B","CALAMAGROSTIETALIA VILLOSAE"
"06BA","Calamagrostion villosae"
"06BA01","Avenastro planiculmis-Poetum chaixii"
"06BA02","Deschampsio flexuosae-Calamagrostietum villosae"
"06BA03","Crepido-Calamagrostietum villosae"
"06BA04","Sphagno compacti-Molinietum coeruleae"
"06BA05","Sileno vulgaris-Calamagrostietum villosae"
"06BB","Calamagrostion arundinaceae"
"06BB01","Bupleuro-Calamagrostietum arundinaceae"
"06BC","Poo chaixii-Deschampsion caespitosae"
"06BC01","Poo chaixii-Deschampsietum caespitosae"
"06BC02","Bistorto-Deschampsietum alpicolae"
"07","LEMNETEA"
"07A","LEMNETALIA MINORIS"
"07AA","Lemnion minoris"
"07AA01","Lemnetum trisulcae"
"07AA02","Riccietum fluitantis"
"07AA03","Riccietum rhenanae"
"07AA04","Wolffietum arrhizae"
"07AA05","Lemnetum minoris"
"07AA06","Ricciocarpetum natantis"
"07AA07","Lemno-Spirodeletum"
"07AA08","Salvinio-Spirodeletum polyrrhizae"
"07AA09","Lemnetum gibbae"
"07B","LEMNO-UTRICULARIETALIA"
"07BA","Utricularion vulgaris"
"07BA01","Lemno-Utricularietum vulgaris"
"07BA02","Utricularietum australis"
"07C","HYDROCHARITETALIA"
"07CA","Hydrocharition"
"07CA01","Hydrocharitetum morsus-ranae"
"07CA02","Stratiotetum aloidis"
"07CA03","Ceratophylletum demersi"
"08","CHARETEA FRAGILIS"
"08A","NITELLETALIA FLEXILIS"
"08AA","Nitellion flexilis"
"08AA01","Nitelletum flexilis"
"08AA02","Charetum braunii"
"08B","CHARETALIA HISPIDAE"
"08BA","Charion asperae"
"08BA01","Charetum asperae"
"08BA02","Charetum hispidae"
"08BB","Charion vulgaris"
"08BB01","Charetum vulgaris"
"08BC","Charion fragilis"
"08BC01","Charetum globularis"
"08BD","Charion canescentis"
"08BD01","Charetum canescentis"
"09","POTAMETEA"
"09A","POTAMETALIA"
"09AA","Nymphaeion albae"
"09AA01","Myriophyllo-Nupharetum"
"09AA02","Nupharo lutei-Nymphaeetum albae"
"09AA03","Potamo natantis-Nymphaeetum candidae"
"09AA04","Nupharetum pumilae"
"09AA05","Trapetum natantis"
"09AA06","Nymphoidetum peltatae"
"09AA07","Polygonetum amphibii (natantis)"
"09AB","Magnopotamion"
"09AB'","Potamenion polygonifolii"
"09AB01","Potametum panormitano-graminei"
"09AB02","Potametum colorati"
"09AB''","Potamenion lucentis"
"09AB03","Potametum lucentis"
"09AB04","Potametum perfoliati"
"09AB05","Elodeetum canadensis"
"09AB06","Myriophylletum spicati"
"09AB07","Myriophylletum verticillati"
"09AB08","Potametum alpini"
"09AB09","Ceratophylletum submersi"
"09AB010","Groenlandietum densae"
"09AB011","Potametum nodosi"
"09AC","Parvopotamion"
"09AC01","Parvopotamo-Zannichellietum palustris"
"09AC02","Parvopotamo-Zannichellietum pedicellatae"
"09AC03","Potametum trichoidis"
"09AC04","Najadetum marinae"
"09AC05","Najadetum minoris"
"09AC06","Potametum crispi"
"09AC07","Potametum obtusifolii"
"09B","CALLITRICHO-BATRACHIETALIA"
"09BA","Batrachion fluitantis"
"09BA01","Batrachietum fluitantis"
"09BA02","Myriophylletum alterniflori"
"09BA03","Batrachio-Callitrichetum hamulatae"
"09BA04","Sparganio-Potametum pectinati"
"09BB","Batrachion aquatilis"
"09BB01","Batrachietum aquatili-peltatae"
"09BB02","Batrachio trichophylli-Callitrichetum cophocarpae"
"09BB03","Batrachietum circinati"
"09BB04","Batrachietum rionii"
"09BB05","Hottonietum palustris"
"09BB06","Callitrichetum hermaphroditicae"
"10","ISOETO-LITTORELLETEA"
"10A","LITTORELLETALIA"
"10AA","Isoetion lacustris"
"10AA01","Isoetetum echinosporae"
"10AA02","Isoetes lacustris spol."
"10AA03","Sparganium angustifolium spol."
"10AB","Littorellion uniflorae"
"10AB01","Littorello-Eleocharitetum acicularis"
"10AB02","Eleocharis acicularis spol."
"10AB03","Pilularietum globuliferae"
"10AB04","Ranunculo flammulae-Juncetum bulbosi"
"11","UTRICULARIETEA"
"11A","UTRICULARIETALIA"
"11AA","Sphagno-Utricularion"
"11AA01","Sparganietum minimi"
"11AA02","Scorpidio-Utricularietum minoris"
"11AA03","Sphagno-Utricularietum intermediae"
"12","ISOETO-NANOJUNCETEA"
"12A","NANOCYPERETALIA"
"12AA","Eleocharition ovatae"
"12AA01","Eleocharito ovatae-Caricetum bohemicae"
"12AA02","Cypero fusci-Juncetum bufonii"
"12AA03","Gypsophilo muralis-Juncetum bufonii"
"12AA04","Coleantho-Spergularietum echinospermae"
"12AA05","Dichostyli-Gnaphalietum uliginosi"
"12AA06","Peplido-Eleocharitetum ovatae"
"12AA07","Lindernio-Eleocharitetum ovatae"
"12AB","Radiolion linoidis"
"12AB01","Centunculo-Anthoceretum punctati"
"12AB02","Junco tenageiae-Radioletum linoidis"
"12AB03","Hyperico humifusi-Spergularietum rubrae"
"12AB04","Stellario-Scirpetum setacei"
"12AC","Nanocyperion flavescentis"
"12AC01","Cyperetum flavescentis"
"12AC02","Samolo-Cyperetum fusci"
"13","PHRAGMITO-MAGNOCARICETEA"
"13A","PHRAGMITETALIA"
"13AA","Phragmition communis"
"13AA01","Scirpetum lacustris"
"13AA02","Typhetum angustifoliae"
"13AA03","Phragmitetum communis"
"13AA04","Glycerietum maximae"
"13AA05","Typhetum latifoliae"
"13AA06","Typhetum laxmannii"
"13AA07","Sparganietum erecti"
"13AA08","Acoretum calami"
"13AA09","Equisetetum fluviatilis"
"13B","BOLBOSCHOENETALIA MARITIMI"
"13BA","Scirpion maritimi"
"13BA01","Bolboschoenetum maritimi"
"13BA02","Schoenoplectetum tabernaemontani"
"13C","OENANTHETALIA AQUATICAE"
"13CA","Oenanthion aquaticae"
"13CA01","Glycerio fluitantis-Oenanthetum aquaticae"
"13CA02","Rorippo amphibiae-Oenanthetum aquaticae"
"13CA03","Sagittario-Sparganietum emersi"
"13CA04","Hippuridetum vulgaris"
"13CA05","Scirpetum radicantis"
"13CA06","Eleocharitetum palustris"
"13CA07","Butomo-Alismatetum plantaginis-aquaticae"
"13CA08","Butomo-Alismatetum lanceolati"
"13D","NASTURTIO-GLYCERIETALIA"
"13DA","Phalaridion arundinaceae"
"13DA01","Rorippo-Phalaridetum arundinaceae"
"13DA02","Petasito-Phalaridetum arundinaceae"
"13DA03","Caricetum buekii"
"13DA04","Calamagrostietum pseudophragmitis"
"13DA05","Chaerophyllo-Phalaridetum arundinaceae"
"13DB","Sparganio-Glycerion fluitantis"
"13DB01","Glycerietum fluitantis"
"13DB02","Glycerietum plicatae"
"13DB03","Glycerietum nemoralis-plicatae"
"13DB04","Helosciadietum"
"13DB05","Beruletum angustifoliae"
"13DB06","Nasturtietum officinalis"
"13DB07","Catabrosetum aquaticae"
"13DB08","Leersietum oryzoidis"
"13E","MAGNOCARICETALIA"
"13EA","Carici-Rumicion hydrolapathi"
"13EA01","Cicuto-Caricetum pseudocyperi"
"13EA02","Calletum palustris"
"13EB","Magnocaricion elatae"
"13EB01","Caricetum elatae"
"13EB02","Cladietum marisci"
"13EC","Caricion rostratae"
"13EC01","Caricetum rostratae"
"13EC02","Caricetum appropinquatae"
"13EC03","Caricetum paniculatae"
"13EC04","Caricetum diandrae"
"13EC05","Peucedano-Caricetum lasiocarpae"
"13EC06","Comaro-Caricetum cespitosae"
"13ED","Caricion gracilis"
"13ED01","Caricetum gracilis"
"13ED02","Caricetum vesicariae"
"13ED03","Caricetum ripariae"
"13ED04","Caricetum distichae"
"13ED05","Caricetum acutiformis"
"13ED06","Caricetum vulpinae"
"13ED07","Phalaridetum arundinaceae"
"14","CRYPSIETEA ACULEATAE"
"14A","CRYPSIETALIA ACULEATAE"
"14AA","Cypero-Spergularion salinae"
"14AA01","Crypsietum aculeatae"
"14AA02","Crypsietum schoenoidis"
"15","THERO-SUAEDETEA"
"15A","THERO-SUAEDETALIA"
"15AA","Thero-Suaedion"
"15AA01","Spergulario marginatae-Suaedetum prostratae"
"16","THERO-SALICORNIETEA STRICTAE"
"16A","THERO-SALICORNIETALIA STRICTAE"
"16AA","Thero-Salicornion strictae"
"16AA01","Salicornietum prostratae"
"17","FESTUCO-PUCCINELLIETEA"
"17A","SCORZONERO-JUNCETALIA GERARDII"
"17AA","Scorzonero-Juncion gerardii"
"17AA01","Junco gerardii-Scorzoneretum parviflorae"
"17B","FESTUCO-PUCCINELLIETALIA"
"17BA","Puccinellion limosae"
"17BA01","Puccinellietum limosae"
"18","MONTIO-CARDAMINETEA"
"18A","MONTIO-CARDAMINETALIA"
"18AA","Cardamino-Montion"
"18AA01","Caltho minoris-Philonotidetum seriatae"
"18AB","Cardaminion amarae"
"18AB01","Cardaminetum amarae"
"18AB02","Cardamino-Chrysosplenietum alternifolii"
"18AB03","Chrysosplenietum oppositifolii"
"18AB04","Veronico montanae-Caricetum remotae"
"18AB05","Chaerophyllo-Petasitetum albi"
"18AC","Swertio-Anisothecion squarrosi"
"18AC01","Mniobryetum albicantis"
"18AC02","Allio sibirici-Cratoneuretum filicini"
"18AC03","Allietum sibirici"
"18AC04","Crepido paludosae-Philonotidetum seriatae"
"18AC05","Epilobio alsinifolii-Philonotidetum seriatae"
"18AC06","Swertietum perennis"
"18B","CARDAMINO-CRATONEURETALIA"
"18BA","Lycopodo-Cratoneurion commutati"
"18BA01","Pellio endiviifoliae-Cratoneuretum commutati"
"19","SCHEUCHZERIO-CARICETEA FUSCAE"
"19A","CARICETALIA FUSCAE"
"19AA","Caricion fuscae"
"19AA01","Caricetum goodenowii"
"19AA02","Willemetio-Caricetum paniceae"
"19AB","Caricion davallianae"
"19AB01","Juncetum subnodulosi"
"19AB02","Eleocharitetum pauciflorae"
"19AB03","Valeriano dioicae-Caricetum davallianae"
"19AB04","Schoenetum nigricantis"
"19AB05","Seslerietum uliginosae"
"19AC","Caricion lasiocarpae"
"19AC01","Drepanoclado revolventis-Caricetum lasiocarpae"
"19AC02","Amblystegio scorpioidis-Caricetum limosae"
"19AC03","Valeriano-Caricetum flavae"
"19AC04","Amblystegio stellati-Caricetum dioicae"
"19AC05","Drepanoclado revolventis-Caricetum diandrae"
"19AD","Caricion demissae"
"19AD01","Scorpidio-Utricularietum"
"19AD02","Chrysohypno-Trichophoretum alpini"
"19AD03","Amblystegio stellati-Caricetum paniceae"
"19AE","Drepanocladion exannulati"
"19AE01","Calliergo sarmentosi-Eriophoretum angustifolii"
"19AF","Sphagno warnstorfiani-Tomenthypnion"
"19AF01","Sphagno warnstorfiani-Eriophoretum latifolii"
"19AF02","Sphagno-Caricetum lasiocarpae"
"19AF03","Sphagno-Caricetum appropinquatae"
"19AF04","Sphagno warnstorfiani-Caricetum davallianae"
"19B","SCHEUCHZERIETALIA PALUSTRIS"
"19BA","Eriophorion gracilis"
"19BA01","Agrostio caninae-Caricetum diandrae"
"19BA02","Carici limosae-Sphagnetum contorti"
"19BA03","Carici chordorrhizae-Sphagnetum obtusi"
"19BA04","Phragmito-Caricetum lasiocarpae"
"19BB","Rhynchosporion albae"
"19BB01","Sphagno subsecundi-Rhynchosporetum albae"
"19BC","Sphagno recurvi-Caricion canescentis"
"19BC01","Junco filiformis-Sphagnetum recurvi"
"19BC02","Polytricho communis-Molinietum coeruleae"
"19BC03","Carici rostratae-Sphagnetum apiculati"
"19BC04","Sphagno recurvi-Caricetum limosae"
"19BC05","Carici filiformis-Sphagnetum apiculati"
"19BC06","Carici chordorrhizae-Sphagnetum apiculati"
"19BD","Leuko-Scheuchzerion palustris"
"19BD01","Carici rostratae-Drepanocladetum fluitantis"
"19BD02","Drepanoclado fluitantis-Caricetum limosae"
"19BD03","Scheuchzerio-Sphagnetum cuspidati"
"20","OXYCOCCO-SPHAGNETEA"
"20A","SPHAGNETALIA MEDII"
"20AA","Oxycocco-Empetrion hermaphroditi"
"20AA01","Scirpo caespitosi-Sphagnetum compacti"
"20AA02","Sphagno robusti-Empetretum hermaphroditi"
"20AA03","Empetro hermaphroditi-Sphagnetum fusci"
"20AA04","Chamaemoro-Pinetum mughi"
"20AA05","Chamaemoro-Empetretum hermaphroditi"
"20AB","Sphagnion medii"
"20AB01","Eriophoro vaginati-Sphagnetum recurvi"
"20AB02","Andromedo polifoliae-Sphagnetum magellanici"
"20AB03","Eriophoro vaginati-Pinetum silvestris"
"20AB04","Pino rotundatae-Sphagnetum"
"20B","ERICO-LEDETALIA"
"20BA","Oxycocco-Ericion"
"20BA01","Scirpo austriaci-Sphagnetum papillosi"
"21","MOLINIO-ARRHENATHERETEA"
"21A","ARRHENATHERETALIA"
"21AA","Arrhenatherion"
"21AA01","Arrhenatheretum elatioris"
"21AA02","Trifolio-Festucetum rubrae"
"21AA03","Poo-Trisetetum"
"21AA04","Potentillo albae-Festucetum rubrae"
"21AA05","Phyteumato-Festucetum"
"21AB","Polygono-Trisetion"
"21AB01","Geranio-Trisetetum"
"21AB02","Melandrio-Trisetetum"
"21AB03","Cardaminopsio halleri-Agrostietum"
"21AB04","Melandrio-Phleetum alpini"
"21AB05","Meo athamantici-Cirsietum heterophylli"
"21AB06","Alopecuro-Poetum chaixii"
"21AB07","Cirsio heterophylli-Alchemilletum acutilobae"
"21AC","Cynosurion"
"21AC'","Lolio-Cynosurenion"
"21AC01","Lolio-Cynosuretum"
"21AC02","Caro-Poetum pratensis"
"21AC03","Trifolio repentis-Veronicetum filiformis"
"21AC''","Polygalo-Cynosurenion"
"21AC04","Festuco-Cynosuretum"
"21AC05","Anthoxantho-Agrostietum"
"21B","MOLINIETALIA"
"21BA","Alopecurion pratensis"
"21BA01","Alopecuretum pratensis"
"21BA02","Agropyro-Alopecuretum"
"21BA03","Stellario-Deschampsietum cespitosae"
"21BA04","Deschampsio-Senecionetum aquatici"
"21BA05","Sanguisorbo-Deschampsietum cespitosae"
"21BA06","Sanguisorbo-Polygonetum bistortae"
"21BA07","Holcetum lanati"
"21BB","Calthion"
"21BB'","Calthenion"
"21BB01","Angelico-Cirsietum oleracei"
"21BB02","Cirsietum rivularis"
"21BB03","Trollio-Cirsietum salisburgensis"
"21BB04","Polygono-Trollietum altissimi"
"21BB05","Polygono-Cirsietum palustris"
"21BB06","Angelico-Cirsietum palustris"
"21BB07","Chaerophyllo hirsuti-Calthetum"
"21BB08","Chaerophyllo hirsuti-Crepidetum paludosae"
"21BB09","Scirpo-Cirsietum cani"
"21BB10","Caricetum cespitosae"
"21BB11","Scirpetum sylvatici"
"21BB12","Polygono-Cirsietum heterophylli"
"21BB13","Deschampsio-Cirsietum heterophylli"
"21BB14","Crepido-Juncetum acutiflori"
"21BB15","Scirpo-Juncetum filiformis"
"21BB16","Junco filiformis-Polygonetum bistortae"
"21BB''","Filipendulenion"
"21BB17","Filipendulo-Geranietum palustris"
"21BB18","Lysimachio vulgaris-Filipenduletum"
"21BB19","Chaerophyllo hirsuti-Filipenduletum"
"21BB20","Valeriano procurrentis-Filipenduletum"
"21BB21","Cirsio heterophylli-Filipenduletum"
"21BB22","Filipendulo-Menthetum longifoliae"
"21BB23","Filipendulo-Epilobietum hirsuti"
"21BB24","Trollio altissimi-Filipenduletum"
"21BB25","Iridetum sibiricae"
"21BB26","Veronico longifoliae-Filipenduletum"
"21BC","Cnidion venosi"
"21BC01","Lathyro palustris-Gratioletum"
"21BC02","Gratiolo-Caricetum suzae"
"21BC03","Cnidio-Violetum pumilae"
"21BC04","Cnidio-Violetum elatioris"
"21BC05","Juncetum atrati"
"21BC06","Pseudolysimachio-Alopecuretum"
"21BD","Veronico longifoliae-Lysimachion vulgaris"
"21BD01","Lysimachio-Filipenduletum picbaueri"
"21BD02","Stachyo palustris-Thalictretum flavae"
"21BD03","Veronico longifoliae-Euphorbietum lucidae"
"21BE","Molinion"
"21BE01","Molinietum caeruleae"
"21BE02","Junco-Molinietum caeruleae"
"21BE03","Gentiano pneumonanthis-Molinietum litoralis"
"21BE04","Silaetum pratensis"
"21BE05","Serratulo-Festucetum commutatae"
"21BE06","Sanguisorbo-Festucetum pratensis"
"21BE07","Sanguisorbo-Festucetum commutatae"
"22","NARDO-CALLUNETEA"
"22A","NARDETALIA"
"22AA","Nardion"
"22AA01","Lycopodio alpini-Nardetum"
"22AA02","Thesio alpini-Nardetum"
"22AA03","Festuco supinae-Nardetum"
"22AB","Violion caninae"
"22AB01","Hyperico-Polygaletum"
"22AB02","Gymnadenio-Nardetum"
"22AB03","Nardo-Festucetum capillatae"
"22AB04","Thymo-Festucetum ovinae"
"22AB05","Carici leporinae-Agrostietum tenuis"
"22AC","Nardo-Juncion squarrosi"
"22AC01","Nardo-Juncetum squarrosi"
"22AD","Nardo-Agrostion tenuis"
"22AD01","Sileno vulgaris-Nardetum"
"22AD02","Ranunculo nemorosi-Nardetum"
"22B","CALLUNO-ULICETALIA"
"22BA","Genistion"
"22BA01","Genisto germanicae-Callunetum"
"22BA02","Calluno-Vaccinietum"
"22BA03","Arnico montanae-Callunetum"
"22BA04","Calluno-Deschampsietum"
"22BB","Euphorbio-Callunion"
"22BB01","Euphorbio cyparissiae-Callunetum"
"22BB02","Cladonio-Callunetum"
"22BB03","Antherico-Callunetum"
"22BB04","Carici humilis-Callunetum"
"22BB05","Agrostio vinealis-Genistetum pilosae"
"22BC","Vaccinion"
"22BC01","Rhodococco-Vaccinietum myrtilli"
"22BC02","Calamagrostio arundinaceae-Vaccinietum"
"22BC03","Festuco supinae-Vaccinietum myrtilli"
"23","KOELERIO-CORYNEPHORETEA"
"23A","CORYNEPHORETALIA CANESCENTIS"
"23AA","Corynephorion canescentis"
"23AA01","Thymo angustifolii-Corynephoretum canescentis"
"24","FESTUCETEA VAGINATAE"
"24A","FESTUCO-ASTRAGALETALIA ARENARII"
"24AA","Koelerion glaucae"
"24AA01","Jurineo cyanoidis-Koelerietum glaucae"
"25","SEDO-SCLERANTHETEA"
"25A","TRIFOLIO ARVENSIS-FESTUCETALIA OVINAE"
"25AA","Thero-Airion"
"25AA01","Airetum praecocis"
"25AA02","Filagini-Vulpietum"
"25AB","Arabidopsion thalianae"
"25AB01","Veronico vernae-Poetum bulbosae"
"25AB02","Gageo bohemicae-Veronicetum dillenii"
"25AB03","Arabidopsietum thalianae"
"25AC","Hyperico perforati-Scleranthion perennis"
"25AC01","Polytricho piliferi-Scleranthetum perennis"
"25AC02","Cerastio arvensis-Agrostietum pusillae"
"25AC03","Jasiono montanae-Festucetum ovinae"
"25AC04","Artemisio campestris-Corynephoretum canescentis"
"25AC05","Festucetum ovinae"
"25AC06","Festuco glaucae-Sedetum acris"
"25AC07","Hypno tamariscini-Festucetum duriusculae"
"25AD","Plantagini-Festucion ovinae"
"25AD01","Diantho deltoidis-Armerietum"
"25AD02","Thymo angustifolii-Festucetum ovinae"
